noc21_code_name,posting_count,total_vacancies,valid_salary_postings,median_hourly_salary,salary_coverage_percentage,cluster,cluster_name
"Plastic products assemblers, finishers and inspectors",20,53,16,20.925,80.0,0,"Moderate demand, strong salary coverage"
Plumbers,363,468,253,35.0,69.7,0,"Moderate demand, strong salary coverage"
Post-secondary teaching and research assistants,31,32,18,30.799999999999997,58.1,0,"Moderate demand, strong salary coverage"
Power engineers and power systems operators,79,93,46,33.85942307692308,58.2,0,"Moderate demand, strong salary coverage"
Probation and parole officers,20,20,20,37.50817307692308,100.0,0,"Moderate demand, strong salary coverage"
"Process control and machine operators, food and beverage processing",54,107,43,22.0,79.6,0,"Moderate demand, strong salary coverage"
Procurement and purchasing agents and officers,252,257,139,32.45192307692308,55.2,0,"Moderate demand, strong salary coverage"
"Producers, directors, choreographers and related occupations",155,155,108,38.48639783653846,69.7,0,"Moderate demand, strong salary coverage"
Production and transportation logistics coordinators,297,318,174,27.0,58.6,0,"Moderate demand, strong salary coverage"
Production logistics workers,103,138,46,21.0,44.7,1,"Higher salary, limited salary coverage"
"Professional occupations in advertising, marketing and public relations",876,905,460,30.5505,52.5,1,"Higher salary, limited salary coverage"
Professional occupations in business management consulting,781,785,274,37.5,35.1,1,"Higher salary, limited salary coverage"
"Program leaders and instructors in recreation, sport and fitness",606,1257,505,22.24,83.3,0,"Moderate demand, strong salary coverage"
Property administrators,132,141,67,27.849038461538463,50.8,0,"Moderate demand, strong salary coverage"
Psychologists,107,112,63,70.0,58.9,1,"Higher salary, limited salary coverage"
Public works and maintenance labourers,86,108,59,22.83653846153846,68.6,0,"Moderate demand, strong salary coverage"
Public works maintenance equipment operators and related workers,53,62,34,28.325,64.2,0,"Moderate demand, strong salary coverage"
Purchasing and inventory control workers,90,95,37,23.0,41.1,1,"Higher salary, limited salary coverage"
Purchasing managers,110,110,49,45.67307692307692,44.5,1,"Higher salary, limited salary coverage"
Railway and motor transport labourers,46,66,34,22.25,73.9,0,"Moderate demand, strong salary coverage"
Real estate agents and salespersons,55,55,29,55.28846153846153,52.7,1,"Higher salary, limited salary coverage"
Receptionists,1444,1480,1079,20.380000000000003,74.7,0,"Moderate demand, strong salary coverage"
"Recreation, sports and fitness policy researchers, consultants and program officers",195,211,138,31.97,70.8,0,"Moderate demand, strong salary coverage"
"Recreation, sports and fitness program and service directors",45,45,40,49.90865384615385,88.9,0,"Moderate demand, strong salary coverage"
Registered nurses and registered psychiatric nurses,917,1187,192,40.0,20.9,1,"Higher salary, limited salary coverage"
"Registrars, restorers, interpreters and other occupations related to museum and art galleries",41,66,36,21.0225,87.8,0,"Moderate demand, strong salary coverage"
Residential and commercial installers and servicers,316,535,285,28.5,90.2,0,"Moderate demand, strong salary coverage"
"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",42,66,32,38.92,76.2,0,"Moderate demand, strong salary coverage"
Restaurant and food service managers,1111,1366,1043,27.0,93.9,0,"Moderate demand, strong salary coverage"
Retail and wholesale buyers,2166,2194,145,18.0,6.7,2,"Very high demand, lower salary"
Retail and wholesale trade managers,1933,1972,489,30.0,25.3,2,"Very high demand, lower salary"
Retail sales supervisors,1413,1820,917,23.08,64.9,2,"Very high demand, lower salary"
Retail salespersons and visual merchandisers,6381,6688,1503,20.5,23.6,2,"Very high demand, lower salary"
Roofers and shinglers,104,324,100,31.9625,96.2,0,"Moderate demand, strong salary coverage"
Sales and account representatives - wholesale trade (non-technical),148,160,58,24.82,39.2,1,"Higher salary, limited salary coverage"
School principals and administrators of elementary and secondary education,50,50,14,41.34615384615385,28.0,1,"Higher salary, limited salary coverage"
Secondary school teachers,315,504,58,34.77930288461538,18.4,1,"Higher salary, limited salary coverage"
"Securities agents, investment dealers and brokers",31,31,1,17.5,3.2,1,"Higher salary, limited salary coverage"
Security guards and related security service occupations,769,852,268,19.53,34.9,1,"Higher salary, limited salary coverage"
Senior government managers and officials,37,37,22,51.850500000000004,59.5,1,"Higher salary, limited salary coverage"
"Senior managers - construction, transportation, production and utilities",104,105,101,54.0,97.1,0,"Moderate demand, strong salary coverage"
"Senior managers - financial, communications and other business services",95,98,76,85.53846153846155,80.0,1,"Higher salary, limited salary coverage"
"Senior managers - health, education, social and community services and membership organizations",188,190,122,36.94086538461538,64.9,0,"Moderate demand, strong salary coverage"
"Senior managers - trade, broadcasting and other services",158,160,144,48.0,91.1,0,"Moderate demand, strong salary coverage"
